54571 Autauga County, Alabama
182265 Baldwin County, Alabama
27457 Barbour County, Alabama
22915 Bibb County, Alabama
57322 Blount County, Alabama
10914 Bullock County, Alabama
20947 Butler County, Alabama
118572 Calhoun County, Alabama
34215 Chambers County, Alabama
25989 Cherokee County, Alabama
43643 Chilton County, Alabama
13859 Choctaw County, Alabama
25833 Clarke County, Alabama
13932 Clay County, Alabama
14972 Cleburne County, Alabama
49948 Coffee County, Alabama
54428 Colbert County, Alabama
13228 Conecuh County, Alabama
11539 Coosa County, Alabama
37765 Covington County, Alabama
13906 Crenshaw County, Alabama
80406 Cullman County, Alabama
50251 Dale County, Alabama
43820 Dallas County, Alabama
71109 DeKalb County, Alabama
79303 Elmore County, Alabama
38319 Escambia County, Alabama
104430 Etowah County, Alabama
17241 Fayette County, Alabama
31704 Franklin County, Alabama
26790 Geneva County, Alabama
9045 Greene County, Alabama
15760 Hale County, Alabama
17302 Henry County, Alabama
101547 Houston County, Alabama
53227 Jackson County, Alabama
658466 Jefferson County, Alabama
14564 Lamar County, Alabama
92709 Lauderdale County, Alabama
34339 Lawrence County, Alabama
140247 Lee County, Alabama
82782 Limestone County, Alabama
11299 Lowndes County, Alabama
21452 Macon County, Alabama
334811 Madison County, Alabama
21027 Marengo County, Alabama
30776 Marion County, Alabama
93019 Marshall County, Alabama
412992 Mobile County, Alabama
23068 Monroe County, Alabama
229363 Montgomery County, Alabama
119490 Morgan County, Alabama
10591 Perry County, Alabama
19746 Pickens County, Alabama
32899 Pike County, Alabama
22913 Randolph County, Alabama
52947 Russell County, Alabama
83593 St. Clair County, Alabama
195085 Shelby County, Alabama
13763 Sumter County, Alabama
82291 Talladega County, Alabama
41616 Tallapoosa County, Alabama
194656 Tuscaloosa County, Alabama
67023 Walker County, Alabama
17581 Washington County, Alabama
11670 Wilcox County, Alabama
24484 Winston County, Alabama
3141 Aleutians East Borough, Alaska
5561 Aleutians West Census Area, Alaska
291826 Anchorage Municipality, Alaska
17013 Bethel Census Area, Alaska
997 Bristol Bay Borough, Alaska
1826 Denali Borough, Alaska
4847 Dillingham Census Area, Alaska
97581 Fairbanks North Star Borough, Alaska
2508 Haines Borough, Alaska
2150 Hoonah-Angoon Census Area, Alaska
31275 Juneau City and Borough, Alaska
55400 Kenai Peninsula Borough, Alaska
13477 Ketchikan Gateway Borough, Alaska
13592 Kodiak Island Borough, Alaska
7459 Kusilvak Census Area, Alaska
1631 Lake and Peninsula Borough, Alaska
88995 Matanuska-Susitna Borough, Alaska
9492 Nome Census Area, Alaska
9430 North Slope Borough, Alaska
7523 Northwest Arctic Borough, Alaska
3815 Petersburg Borough, Alaska
5559 Prince of Wales-Hyder Census Area, Alaska
8881 Sitka City and Borough, Alaska
968 Skagway Municipality, Alaska
7029 Southeast Fairbanks Census Area, Alaska
9636 Valdez-Cordova Census Area, Alaska
2369 Wrangell City and Borough, Alaska
662 Yakutat City and Borough, Alaska
5588 Yukon-Koyukuk Census Area, Alaska
71518 Apache County, Arizona
131346 Cochise County, Arizona
134421 Coconino County, Arizona
53597 Gila County, Arizona
37220 Graham County, Arizona
8437 Greenlee County, Arizona
20489 La Paz County, Arizona
3817117 Maricopa County, Arizona
200186 Mohave County, Arizona
107449 Navajo County, Arizona
980263 Pima County, Arizona
375770 Pinal County, Arizona
47420 Santa Cruz County, Arizona
211033 Yavapai County, Arizona
195751 Yuma County, Arizona
19019 Arkansas County, Arkansas
21853 Ashley County, Arkansas
41513 Baxter County, Arkansas
221339 Benton County, Arkansas
36903 Boone County, Arkansas
11508 Bradley County, Arkansas
5368 Calhoun County, Arkansas
27446 Carroll County, Arkansas
11800 Chicot County, Arkansas
22995 Clark County, Arkansas
16083 Clay County, Arkansas
25970 Cleburne County, Arkansas
8689 Cleveland County, Arkansas
24552 Columbia County, Arkansas
21273 Conway County, Arkansas
96443 Craighead County, Arkansas
61948 Crawford County, Arkansas
50902 Crittenden County, Arkansas
17870 Cross County, Arkansas
8116 Dallas County, Arkansas
13008 Desha County, Arkansas
18509 Drew County, Arkansas
113237 Faulkner County, Arkansas
18125 Franklin County, Arkansas
12245 Fulton County, Arkansas
96024 Garland County, Arkansas
17853 Grant County, Arkansas
42090 Greene County, Arkansas
22609 Hempstead County, Arkansas
32923 Hot Spring County, Arkansas
13789 Howard County, Arkansas
36647 Independence County, Arkansas
13696 Izard County, Arkansas
17997 Jackson County, Arkansas
77435 Jefferson County, Arkansas
25540 Johnson County, Arkansas
7645 Lafayette County, Arkansas
17415 Lawrence County, Arkansas
10424 Lee County, Arkansas
14134 Lincoln County, Arkansas
13171 Little River County, Arkansas
22353 Logan County, Arkansas
68356 Lonoke County, Arkansas
15717 Madison County, Arkansas
16653 Marion County, Arkansas
43462 Miller County, Arkansas
46480 Mississippi County, Arkansas
8149 Monroe County, Arkansas
9487 Montgomery County, Arkansas
8997 Nevada County, Arkansas
8330 Newton County, Arkansas
26120 Ouachita County, Arkansas
10445 Perry County, Arkansas
21757 Phillips County, Arkansas
11291 Pike County, Arkansas
24583 Poinsett County, Arkansas
20662 Polk County, Arkansas
61754 Pope County, Arkansas
8715 Prairie County, Arkansas
382748 Pulaski County, Arkansas
17969 Randolph County, Arkansas
28258 St. Francis County, Arkansas
107118 Saline County, Arkansas
11233 Scott County, Arkansas
8195 Searcy County, Arkansas
125744 Sebastian County, Arkansas
17058 Sevier County, Arkansas
17264 Sharp County, Arkansas
12394 Stone County, Arkansas
41639 Union County, Arkansas
17295 Van Buren County, Arkansas
203065 Washington County, Arkansas
77076 White County, Arkansas
7260 Woodruff County, Arkansas
22185 Yell County, Arkansas
1510271 Alameda County, California
1175 Alpine County, California
38091 Amador County, California
220000 Butte County, California
45578 Calaveras County, California
21419 Colusa County, California
1049025 Contra Costa County, California
28610 Del Norte County, California
181058 El Dorado County, California
930450 Fresno County, California
28122 Glenn County, California
134623 Humboldt County, California
174528 Imperial County, California
18546 Inyo County, California
839631 Kern County, California
152982 Kings County, California
64665 Lake County, California
34895 Lassen County, California
9818605 Los Angeles County, California
150865 Madera County, California
252409 Marin County, California
18251 Mariposa County, California
87841 Mendocino County, California
255793 Merced County, California
9686 Modoc County, California
14202 Mono County, California
415057 Monterey County, California
136484 Napa County, California
98764 Nevada County, California
3010232 Orange County, California
348432 Placer County, California
20007 Plumas County, California
2189641 Riverside County, California
1418788 Sacramento County, California
55269 San Benito County, California
2035210 San Bernardino County, California
3095313 San Diego County, California
805235 San Francisco County, California
685306 San Joaquin County, California
269637 San Luis Obispo County, California
718451 San Mateo County, California
423895 Santa Barbara County, California
1781642 Santa Clara County, California
262382 Santa Cruz County, California
177223 Shasta County, California
3240 Sierra County, California
44900 Siskiyou County, California
413344 Solano County, California
483878 Sonoma County, California
514453 Stanislaus County, California
94737 Sutter County, California
63463 Tehama County, California
13786 Trinity County, California
442179 Tulare County, California
55365 Tuolumne County, California
823318 Ventura County, California
200849 Yolo County, California
72155 Yuba County, California
441603 Adams County, Colorado
15445 Alamosa County, Colorado
572003 Arapahoe County, Colorado
12084 Archuleta County, Colorado
3788 Baca County, Colorado
6499 Bent County, Colorado
294567 Boulder County, Colorado
55889 Broomfield County, Colorado
17809 Chaffee County, Colorado
1836 Cheyenne County, Colorado
9088 Clear Creek County, Colorado
8256 Conejos County, Colorado
3524 Costilla County, Colorado
5823 Crowley County, Colorado
4255 Custer County, Colorado
30952 Delta County, Colorado
600158 Denver County, Colorado
2064 Dolores County, Colorado
285465 Douglas County, Colorado
52197 Eagle County, Colorado
23086 Elbert County, Colorado
622263 El Paso County, Colorado
46824 Fremont County, Colorado
56389 Garfield County, Colorado
5441 Gilpin County, Colorado
14843 Grand County, Colorado
15324 Gunnison County, Colorado
843 Hinsdale County, Colorado
6711 Huerfano County, Colorado
1394 Jackson County, Colorado
534543 Jefferson County, Colorado
1398 Kiowa County, Colorado
8270 Kit Carson County, Colorado
7310 Lake County, Colorado
51334 La Plata County, Colorado
299630 Larimer County, Colorado
15507 Las Animas County, Colorado
5467 Lincoln County, Colorado
22709 Logan County, Colorado
146723 Mesa County, Colorado
712 Mineral County, Colorado
13795 Moffat County, Colorado
25535 Montezuma County, Colorado
41276 Montrose County, Colorado
28159 Morgan County, Colorado
18831 Otero County, Colorado
4436 Ouray County, Colorado
16206 Park County, Colorado
4442 Phillips County, Colorado
17148 Pitkin County, Colorado
12551 Prowers County, Colorado
159063 Pueblo County, Colorado
6666 Rio Blanco County, Colorado
11982 Rio Grande County, Colorado
23509 Routt County, Colorado
6108 Saguache County, Colorado
699 San Juan County, Colorado
7359 San Miguel County, Colorado
2379 Sedgwick County, Colorado
27994 Summit County, Colorado
23350 Teller County, Colorado
4814 Washington County, Colorado
252825 Weld County, Colorado
10043 Yuma County, Colorado
916829 Fairfield County, Connecticut
894014 Hartford County, Connecticut
189927 Litchfield County, Connecticut
165676 Middlesex County, Connecticut
862477 New Haven County, Connecticut
274055 New London County, Connecticut
152691 Tolland County, Connecticut
118428 Windham County, Connecticut
162310 Kent County, Delaware
538479 New Castle County, Delaware
197145 Sussex County, Delaware
