15 Elmore County, Alabama
17 Escambia County, Alabama
8 Garfield County, Colorado
11 Gilpin County, Colorado
5 Lincoln County, Georgia
14 Long County, Georgia
19 Lowndes County, Georgia
23 Lumpkin County, Georgia
4 McDuffie County, Georgia
6 McIntosh County, Georgia
18 Fulton County, Illinois
22 Gallatin County, Illinois
10 Greene County, Illinois
3 Clayton County, Iowa
20 Clinton County, Iowa
7 Crawford County, Iowa
2 Miami County, Kansas
25 Mitchell County, Kansas
1 Simpson County, Kentucky
12 Taylor County, Kentucky
9 Asotin County, Washington
21 Benton County, Washington
24 Clallam County, Washington
13 Clark County, Washington
16 Columbia County, Washington
